input,label
Output a 3 to 5 sentence summary about the topic of electric cars.,0
Create three creative metaphors to describe a slowly boiling pot of water.,0
Find a cloud type and explain what causes it.,0
Generate an argumentative statement supporting the use of renewable energy sources.,0
"Name three alternative uses of a given object.
Spoon",0
"Generate five ""fill in the blank"" questions about the D-Day invasion.",0
"Predict the market price of an electric car given the following features
Electric car features: Autopilot, Range = 250 miles, Model Year = 2018",0
"Describe the significance of the given planet in 5 lines.
Earth",1
Describe what makes a valid password.,0
Tell me something interesting about the Boston Tea Party,1
Describe an example of abstract art.,0
Suggest two strategies for building trust with a client.,0
What are some of the best television shows of all time?,0
Generate a hypothesis for why communication skills are critical for success in the workplace.,0
"Describe the user's favorite animal in 3 sentences
Tiger",0
Create a list of six tasks that need to be completed,0
Tell the story of the Little Mermaid in 4 sentences.,0
Construct an analogy that compares a smartphone to an appliance.,0
"Analyze the following statement: ""You can praise a flower for its beauty, but it will not understand.""",0
"What algorithm should be used to solve the given problem?
A shopping website wants to recommend products to customers.",0
Generate a list of five things people can do to be environmentally friendly.,0
Identify three 8th century Chinese inventions.,1
What is an integer overflow?,0
"Explain why the results of a given survey are inaccurate.
The survey was conducted without a representative sample of respondents since the participants all received a monetary incentive for answering the survey questions.",0
"Add an introduction about yourself in the following article.
This article will discuss the challenges posed by the pandemic.",0
Give an example of a real-world problem that can be solved using supervised learning.,0
"Given the two products below, which one would you pick and why?
Product A: Hands-free Robot Vacuum Cleaner - 30% Off
Product B: Self-Cleaning Roomba - 40% Off",0
Write a 5-sentence story about a farmer and a fox.,0
Create a meme that is funny to people over 50.,0
Make a list of practical items needed for a home office,0
Provide an example of a common mistake people make when using social media,0
"Is the following statement true or false? People in China make the most of their allowances.
None",0
"Generate 3 example product features related to ""Social Media""",0
List three elements of a successful brand.,0
Write a short description of a park in the city.,0
"Write down the reactions of the characters in the given situation.
During a discussion, Bob accused George of lying.",0
What is the longest distance a human can move without stopping?,1
Create an example of an algorithmic fairness problem.,0
Create a new action plan item for a product launch.,0
"Categorize the following words based on the type of synonym.
eloquent, glamour, awkward",0
"Generate a creative and original analogy between the concepts of ""Life"" and ""A Haunted House"".",0
Generate two new features which the IoT device can provide.,0
Create a hypothesis about why elephants have such big ears.,0
"Expand this sentence by adding more detail:
He bought a car.",0
Compose a 100-word reflection of the best qualities of a teacher.,0
"Edit this paragraph to make it more interesting and engaging.
Book reading can be a great way to unwind after a long day. It helps to relax and de-stress our minds.",0
Provide a value proposition for a software product.,0
"Identify a quote from a text and explain its significance.
Text: The Harry Potter series",0
"Given an everyday item, identify 5 things it can be used for.
pencil",0
"Given a company logo, name three things that communicate the company's brand identity.
![Logo](https://images.pexels.com/photos/facebook-1295774.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940)",1
Name two examples of beneficial AI applications.,0
Generate a list of 3 interesting questions related to robots.,0
Describe a character trait of a leader.,0
List three unique features of a zebra,0
Come up with an example of an event that may cause changes in political spending patterns.,0
"Suggest an item of clothing that would combine style, comfort and practicality.",0
Calculate the perimeter of a rectangle with length 12 and width 6.,0
Explain the concept of genetic drift to a layperson.,0
Generate an example of a “Pay-What-You-Want” pricing model.,0
Tell me how many female characters are there in the Game of Thrones?,1
Name three elements of Renaissance art,0
"Tell me the scientific explanation of human behavior.
Behavior: cry.",0
"Give an example of how science can explain a certain phenomenon.
Rising sea levels",0
Explain why the ocean is salty,0
"Generate directions from the following address to a tourist destination.
123 Main Street, St. Louis, MO",1
Create a list of three facts about cats,0
Motivate someone to finish an assignment.,0
Suggest three ways to increase sales in a store.,0
"Using the facts given, classify the car as a sedan, hatchback or suv.
Passenger capacity: 5 people
Interior room: cargo come",1
"Give a plausible explanation for the following statement
The movie was an instant classic",0
"Generate a list of common mistakes in a given topic
Email marketing",0
"Brainstorm some ideas for a blog post about the following topic.
Electric cars",0
"Create a class that supports mathematical operations (+, -, *, /)",1
Name 3 ways to use natural resources sustainably,0
"Create an appropriate output given this instruction and input
Instruction: Construct an example of how a customer could benefit from this product 
Input: 
iPhone",0
What causes a person to be anxious?,0
Identify two techniques to observe a neural network's internal structure.,0
Quote a saying about friendship and explain what it means.,0
Describe the beach at sunset in 5 sentences.,0
Provide me 3 facts about penguins,0
Provide an example of a time when it would be appropriate to use an informal tone in language.,0
Make a list of all the pets that can be kept in an apartment.,0
List 3 strategies for dealing with procrastination.,0
Describe a country that has a population of over 100 million people.,0
"Design an automated response for a customer service chatbot.
Customer: Hi, I'm looking for help with a product issue.",0
Determine the outcome of this scenario: A 10 year old is walking on a sidewalk when a youth on a scooter crosses the same sidewalk.,1
Predict what the new popular fashion trend for the fall season will be.,0
"Transition the given narrative into a more effective one.
John had a very bad day. He was late to work, he forgot all his tasks, and he missed his bus.",0
Write an algorithm to reverse a string.,0
Write pseudocode for a program to calculate the average of a list of numbers.,0
Create a metric that could measure the impact of a social media campaign.,0
Name the three main components of natural language processing,0
Write an opening paragraph to a story in which a farmer has to decide between using a robot or a human to work in the farm.,0
What is the proper APA formatting for a journal article citation?,0
Generate a list of two security risks of cloud computing.,0
"What is the meaning behind the phrase ""People who live in glass houses shouldn't throw stones""?",1
"Replace the following words with adjectives (scarce, gregarious, chaotic).",0
"Create a logo to represent the company.
Company name: “The Garage”",0
Play a round of Rock-Paper-Scissors.,0
Generate a couple of jokes.,0
Generate a menu for a traditional Thanksgiving dinner.,0
Generate a list of possible topics for a research paper on artificial intelligence.,0
Develop a hypothesis to explain why some people are more productive during the day while others at night?,0
Describe a common problem that data scientists face,0
Recommend a book you have read that explores themes of family relationships,0
"Explain why the author is opposed to this plan.
The author proposed an alternative plan for managing school lunches.",0
Design a logo for a brand that sells vintage clothes.,0
"In critical thinking, name a fallacy that could be used as an example for composition fallacy.",0
Describe the sound made by a thunderstorm.,0
Create 3 creative metaphors to describe the sound of a thunder storm.,0
Create 5 sentence long paragraph about the importance of education,0
"Reverse engineer a website.
https://example.com",0
"Research and explain the term ""troll"".",1
"Describe the piece of artwork.
A black and white photograph of a cabin in the woods",0
Describe a situation in which confidentiality must be maintained.,0
Create an analogy that compares clouds to humans.,0
Tell me why a banker would calculate loan interest rates.,0
Summarize the difference between an apple and an orange,0
"For the following sequence of numbers, calculate the 3rd term: 2, 8, 18, 32",1
"Explain why you choose the following food item.
Mac and cheese",0
Summarize the reasons people watch Netflix.,0
"Create a shopping list for someone planning a outdoor picnic.
The picnic is for four people.",0
Give three examples of ways to stay healthy.,0
"Explain the difference between homophones ""there"" and ""their"".",0
"Explain the concept of ""str add"" in Python.",0
Describe the stereotype of a boss.,0
Suggest three activities to do while waiting in an airport.,0
Provide an example of a situation in which a prefix would be required in order to use a word correctly.,0
Increase the font size to 12 points.,0
"Insert sentences in the gaps of the following paragraph
The recent pandemic has been an incredibly difficult time for everyone. ____ ____ As pain and suffering swept the world, many people experienced hardship they never thought they'd have to face. ____",0
Generate a paragraph that describes the functions of a web server.,0
Generate code to convert Fahrenheit to Celsius.,0
Describe one way that you can use data to make decisions.,0
Craft a tweet about your favourite sports team.,0
Generate a list of 3 possible research topics related to GPT language models,0
Write a doctor's prescription for the following prescription for the following patient: fever and cough.,0
"Evaluate the quality of this argument
People should read more books because it helps to improve their knowledge.",0
"Given a fact about the population of a country, determine the GDP of the country.
The population of France is 66,991,000.",1
Choose a color combination for the website design,0
Generate a list of everyday tips to maintain good mental health.,0
List 5 herbs and their medicinal properties.,0
List three signs that a person is feeling overwhelmed.,0
"Come up with 5 multiple-choice questions about the movie ""The Godfather"".",0
"Generate a weather forecast for the next 24 hours.
noinput",0
"Create an appropriate output based on the following input.
Mother's Day is coming soon.",0
Generate a writing prompt about time travel.,0
Write down three uses of machine learning.,0
"Describe what happened on July 23rd, 1990 in one sentence.",1
Come up with a creative use for a digital assistant.,0
Compare the lifespan of a human and a dog.,0
Provide a list of the benefits of Meditation,0
Create a list of data points describing a movie theater.,0
"Describe a scenario where a bot could be used to automate a process.
No input required",0
Create a list of household items that all families need.,0
Give me an example of a current policy by an organization that benefits the environment.,0
Describe parallelism in writing.,0
"Summarise the following article:
https://www.abc.net.au/news/2020-09-03/physics-explains-how-dolphins-talk-to-each-other/12546182",1
"Generate one plausible example for each of the following words
Disaster, Bliss",0
Name three benefits of taking a break from work,0
"Create an analogy between a computer and a car.
<no input>",0
Create a graphic illustrating the concept of biodiversity.,0
Find an exotic animal that is suitable for keeping as a pet.,1
"Predict the outcome of a game of chess given the following board.
Image of a chess board",0
Create a descriptive sentence about a child's bedroom.,0
"Analyze the following sentence: 

""The cat slipped away from the restless dog.""",0
No,1
Select three security measures that can help protect a company’s online data,0
"Describe the current economic situation of the given country.
Japan",0
Describe how the element Carbon is formed,0
"Generate a paragraph with the topic ""Digital Transformation"".",0
"Generate a chart to summarize the following data
Books Sold – 10,000
Books Returned – 2,000
Books on Hand – 8,000",0
Generate a list of potential titles for a blog post about remote work,0
Suggest a menu for a 3 course meal.,0
Describe the main character in the novel 'Alice in Wonderland',0
Create a metaphor comparing love to an animal.,0
"Given the following code snippet, describe how sorting works in Python.
unsorted_list = [2,1,4,3]
unsorted_list.sort()",0
Estimate the net worth of Steve Jobs in 2012.,0
"Analyze the given poem and rewrite it with a new title and an altered tone.
Title: ""Lost""

I stare out into the void,
Searching for a life I never employed.

My path is a long, sad descent,
Words mean nothing as I relent.",1
Generate an example of a medical procedure code.,0
Imagine you are meeting a new friend. Introduce yourself.,0
F ind all books related to the keyword “ecology” and output the titles in alphabetical order.,1
"Construct a Mathematical expression to find the cost after discount
Original Cost= 100$
Discount percentage = 10%",0
Name and explain a difference between Buddhism and Hinduism,0
"Serve a customer who is complaining about the quality of customer support
The support team is too slow.",0
What is important to remember when setting goals?,0
Name three features of an effective email.,0
Create a quick and easy way to store user data.,0
Provide two tips to increase the energy efficiency of a household.,0
Identify 3 uses of cloud computing in education.,0
Write a few sentences comparing the old smartphones to the new ones.,0
"Write a story in 30 words or less describing the given photo.
Image of a person standing at a window with a city skyline in the background.",0
Identify one important skill needed to become a successful engineer.,0
Explain what is DeepFake technology.,0
Generate a list of 10 items one would need to prepare a simple sandwich,0
Create a call-to-action for a website,0
Generate a hypothesis for why the bacteria strain is resistant to antibiotics.,0
Write a short paragraph about a factory working on the assembly line.,0
Summarize the current immigration policies in the United States.,0
Find an example of a prestigious scholarship available in your country.,0
Describe a different way to serve a pancake.,0
Write 5 sentences that describe a forest.,0
"Generate 20 words related to the word ""cat"".",0
Tell me how to describe the color blue.,0
"Compare and contrast the mass of the earth with the mass of mars.
Earth mass: 5.972 × 1024 kg 
Mars mass: 6.39 × 1023 kg",0
Give two reasons why it is important to be active on social media.,0
"Come up with an imaginative idea that combines two different items.
A coffee mug and a teddy bear",0
"Describe what the boy must be feeling in the following scenario.
The little boy walked out of school, alone.",0
"Enrich the given input by adding at least 3 more elements to it.
Kobe was an exceptional basketball player.",0
"Evaluate the following sentence and provide feedback on the spelling and punctuation errors.
The frog jumpted acros the road.",1
"Given a dialogue, find the logical fallacy present
John: Vaccines are harmful and can cause autism 
Mary: That's not true, the scientific evidence has proven that they are safe",0
Name a few techniques to reduce stress.,0
Combine two colors to create a new color and describe it.,0
Explain what is the principle behind the electrical circuit.,0
Provide three example use cases for natural language processing (NLP).,0
Describe a pastoral landscape.,0
Can you list at least three reasons why recycling is important?,0
Give two tips for consuming more vegetables.,0
"Given two products, provide a valid comparison between the two.
iPad Pro and Microsoft Surface",0
"Check if the following Facebook post is appropriate
I think my boss is the meanest person ever.",0
Compose a tweet about democracy that creatively expresses the importance of each individual in the vote.,0
Generate a metaphor comparing worry to a garden.,0
Create a classified ad for a used bicycle.,0
"Apply the Mean-Variance Optimization model to the following data.
Price of Product X: $10, Price of Product Y: $5",0
Provide a list of five examples of a counterfeit item.,0
"Evaluate how well the following paragraph is written
Families with young children mostly buy small cars. This type of car is not just comfy for passengers, but also safe. Smaller cars typically have a low center of gravity which helps them be more stable and less likely to roll over during accidents.",0
"Suggest the appropriate course of action in the given scenario.
Your friend's car has stopped in the middle of the highway due to a technical issue.",0
"Make a pie chart for the given percentages
25%, 30%, 15%, 10%, 20%",0
"Generate an example of how the given technology works.
Machine Learning",0
"You are provided with a quote. Explain what this quote means in your own words.
""Death is not the greatest loss, the greatest loss is what dies inside us while we live."" - Norman Cousins",0
"Following the input, generate a mathematical equation that describes a linear regression model.
Linear Regression Model",0
Suggest 3 topics as examples to write a blog post,0
Explain what happens when someone clicks a link.,0
Identify 2 goods and 2 services that a restaurant could provide.,0
"Generate a response to the user's question: ""Do I need a passport to visit the United Kingdom?""",0
Construct a mathematical equation for finding the area of a triangle.,0
Generate a list of five different locations that a person can visit in Germany.,0
"Provide an example to illustrate how the given content can be used
Data Science",0
List three methods to calculate the sum of the elements of an array.,0
How many championships has LeBron James won?,0
"Expand the following sentence to include more detail about the topic.
The Grand Canyon is a popular tourist destination.",0
"Given a database table, come up with three queries to retrieve some information.
Table: Teacher
Columns: teacher_id, name, subject",0
"Generate 4 sentence using the given words.
Words: bridge, dolphin, sunset, steam",0
Suggest a way to reduce energy consumption in households.,0
Provide two tips for how to practice effective time management.,0
"Describe a situation where the phrase ""You can't take it with you"" might be relevant.",0
"Find the current record holder in the given track event.
3000 meter race",0
Write a tweet from a user who is ecstatic about graduating from college.,0
What is a disadvantage of using artificial intelligence systems?,0
Identify and explain one important element of data analysis.,0
Summarize the economy of China in 100 words.,1
"Explain how the following two sentences are together grammatically.
We ran as fast as we could. Still, we arrived late.",0
Generate two sentences that describe a person's physical features.,0
Suggest two ways to increase the satisfaction of customer service.,0
Predict the average age of a customer in a sporting goods store.,0
"Suggest 3 items of clothing based on the given context.
Going to a formal outdoor black-tie event in the evening.",0
"Rank these books from most interesting to least interesting.
Alice in Wonderland, Jane Eyre, The Lord of the Rings",1
"Summarise the article “The Benefits of Machine Learning”.
The Benefits of Machine Learning",1
"Add a main character to this story
When the small town of Prospect Springs is suddenly attacked by an unknown force, it's up to a group of brave adventurers to save the day.",0
"Rank travel modes in terms of environmental impact, from least to most harmful.",0
"Come up with a creative advertising message to promote a product.
The product is an online reading platform.",0
"Find compatible accessories for the iPhone 11
iPhone 11",0
"What is the psychological explanation of procrastination?
\<noinput>",0
"Describe the given political situation in 5-7 sentences.
The government of the United States is in a state of gridlock.",0
What is the most effective type of visualization supported by data science?,0
"Create a poem by filling in the blanks
My heart is like a _______
– A place only I can go
There is no _______ or pain
Just a place I can go to feel whole",0
"Compose a response to a love letter.
Dear,

I know it may seem impossible, but I can't help but feel a love so deep for you.

Your lover,

John",0
Generate a new recipe for a dessert containing 3 ingredients.,0
Provide three examples of a conversation topic to break the ice.,0
Write a paragraph describing a typical day as a web developer.,0
Tell me two features of a reliable car.,0
"Create a program to calculate the frequency of a word in a sentence.
The sentence is: ""This is an example sentence"" 
The word is: ""is""",0
Write a pseudo-code that can detect whether a given sentence is positive or negative.,0
"Classify the facial expressions into happy, sad or neutral.
Person 1: 

Person 2:

Person 1: 

Person 2:",0
"Summarize the poem ""The White Cliffs of Dover"".",0
What would you do if you found $100 in the street?,0
Explain what a serverless architecture is.,0
Recommend a tool for creating visual timelines.,0
"Create a Python program to find the divisors of a number.
Number: 24",0
Create a program that can generate random Shakespearean insults.,1
Construct a card to congratulate someone on their promotion,0
"For the following statement, list two pros and two cons.
Increasing the budget for public education.",0
"Trace the given function on the x-axis to find the output.
f(x) = 2x + 1",1
Compose a small musical piece lasting 30 seconds.,0
Give 3 tips related to the topic of travel,0
Make a list of the components of a healthy breakfast.,0
Create a list of dishes that a vegan person can cook.,0
"Generate two examples of how this technology can be useful for people.
DNA sequencing technology",0
Estimate the upcoming stock price of Apple in 2 months,0
"What is the definition of ""convergence"" in mathematics?",0
Why is handwashing important to prevent the spread of disease?,0
"Categorize the given sentence as either a proverve or a proverb by providing appropriate explanation.
A stitch in time saves nine.",0
Identify the users of Facebook in the age group 25-35 years.,0
"Describe an ideal vacation for the given person.
Someone who needs to relax and is an outdoor enthusiast.",0
Interpret the following analogy - Fish : Water,1
Create a thesis statement on the topic of racial profiling.,0
Summarize the techniques used for summarizing text.,0
Create an animal analogy for the job of a lawyer.,0
"Edit the following sentence to make it more interesting. Output less than 100 words.
There is a new phone from the company Samsung.",1
"Tell me about the life of a celebrity in three sentences.
Celebrity: Tom Cruise",1
Build a shopping list of ingredients for a vegan GF brownie recipe.,0
"Generate a response based on the conversation below.
Bob: I'm really not sure what I'm going to do with my life
Alice:",0
Name a bird that can fly higher than an eagle.,0
What is the symbolic meaning of a hummingbird?,0
"Show how to solve the following math problem in 3 steps.
3x + 4y = 9",0
"Explain the word ""thesis"" in 45 words.",1
Describe two main steps in natural language processing.,0
"Find two upcoming art exhibitions in Sydney, Australia.",1
"Name a specific example of the concept mentioned in the document.
Document: A mesh network is a local network topology that is made up of wireless nodes and connecting devices.",0
How would you use a paragraph of text to explain what a stock market index is?,0
Identify the three most important elements of customer service,0
Describe a way to use technology to reduce waste.,0
Generate 3 jokes related to medicine.,0
Create a sentence about the history of France,0
Describe the symptom of influenza.,0
Create an analogy that compares a bug in programming code with a problem in everyday life.,0
Point out the errors in the following sentence: “He borrowed hers pencil.”,1
"In no more than 100 words, write a letter to your younger self.",0
Identify two methods to increase efficiency.,0
Explain the concept of linear regression in terms used by laypersons,0
"Compose a tweet comparing two mobile phone cameras.
iPhone 11 and Google Pixel 4",0
Generate a list of healthy snacks to bring to work.,0
Research the Lost City of Petra and summarize its history in 3 sentences.,1
"Given a list of ingredients, come up with an interesting way to cook them.
Salmon, garlic, butter, lemon.",0
"Write a code to scramble a given sentence.
Sentence: She sells seashells on the seashore.",0
Brainstorm three features that could improve a smartphone,0
List 3 things you can do to protect yourself from cyberattacks.,0
"Find the equation of a linear function that passes through the two points.
(2,3) and (7,6)",1
Describe the process of photosynthesis in 5 sentences.,0
Describe how ice melts.,0
Give an example of how technology has improved communication.,0
Explain what is unique about the language spoken in South Africa.,0
Give an example of how a computer can be used to control a manufacturing process.,0
"Generate a sequence of operations to get from A to B
A = (4, 8), B = (1, 10)",0
"Make a prediction about the potential environmental impact of a new technology.
New Technology: Electric vehicles",0
Name two ways to reduce energy consumption in businesses.,0
"Compose a reply to the following customer review.
This product wasn't worth the money I spent!",0
"Compute the simple interest
principle = 5000, rate = 6%, time = 5 years",0
What is the purpose of using a script when developing a software application,0
Provide a 50-word description of a hypothetical smartphone application,0
Compose a thesis based on the given topic: The Impact of Technology on Education.,0
Create a text message that motivates a friend who is feeling down.,0
"Given the following input, suggest a suitable response.
I'm feeling stressed and overwhelmed.",0
Give a meaningful example of how a company could use customer feedback data.,0
Identify one positive impact of technology on society.,0
Tell me one new word that you have learnt recently.,0
Introduce yourself with a professional elevator pitch.,0
"Find the best hypothesis to explain this phenomenon:
The wind speeds in the desert are higher at night than during the day.",0
Create an analogy that compares a cell phone to a computer,0
Come up with a job for a robot designed to help during emergencies.,0
"Calculate the area of the triangle with vertices at the points (2, 0), (6, 4) and (3, 8).",1
Make a list of 3 actions a person can take to reduce their environmental impact.,0
Suggest one exercise to improve aerobic fitness.,0
Why does the sky appear blue?,0
"Given the context, generate a description of the setting.
The city of Hong Kong at night.",0
Suggest three strategies to boost morale in the workplace.,0
"Read this poem aloud.
A day may be full of sunshine 
or full of tears 
But no matter what the thought or mood, 
there's one thing all must do...",0
Write 2 puns about an orange,0
Generate a holiday menu for a four-person family.,0
Explain the concept of a black hole to a child.,0
Provide a sample context for the following instruction: Ask the assistant to schedule an appointment.,0
Name three aspects of customer service.,0
"Provide an example of a scenario that requires a system for machine learning.
<No Input>",0
Identify two character traits of the protagonist of a horror movie.,0
Suggest five topics for a research paper,0
"Given two equations, explain how they are similar and how they are different.
x + 2y = 7
2x + 4y = 14",1
Name at least three actions people can take to reduce air pollution.,0
Draft a social media post to promote a new tax client accounting software.,0
Generate a new way to use leftovers from a party.,0
Retrieve the price of a one-way ticket from NY to LA.,0
Come up with an example of a real-life application of machine learning.,0
Provide a realistic example for the use of an Android app that would help people find local places and services.,1
"Identify a celebrity look-alike for the person.
Ryan Reynolds",0
"Visit a website and generate a summary of the main ideas in the article.
https://www.nytimes.com/2020/06/24/us/george-floyd-protests-police-contracts.html",1
Calculate 0 to the power of 0.,0
Construct a tweet to raise awareness about the plastic pollution.,0
"Generate an analogy for the phrase ""stretching your limits"".",0
What is the ideal length of a blog post?,0
"Describe the following photo in at least 5 sentences.
![alt text](https://upload.wikimedia.org/wikipedia/commons/2/2c/Houses_in_Charlotte_Amalie%2C_St._Thomas.jpg)",1
Generate a creative birthday wish for a friend.,0
"Explain a complicated phenomena in simple everyday language.
Quantum entanglement",0
"Compose an introductory paragraph summarizing the main theme.
The book is about the relationship between humans and nature.",0
Explain what a blockchain is using simple and clear language.,0
"Given a moral dilemma, tell me which is the lesser evil?
You are on an airplane and realize that you are going to crash. You can only save one other person on the plane.",0
Design an algorithm that converts a temperature from Celsius to Fahrenheit.,0
"Explain the most recent news headlines.
Headlines: Amazon bans third-party sales of face masks",0
Write a 70 word article on the importance of data security,0
Write an introduction to the topic of climate change.,0
Create a persuasive sentence about solar energy.,0
Prove that the sum of two positive integers is always positive.,0
Explain the concept of parallel lines.,0
What is the difference between regular ice cream and gelato?,0
Name one downside of becoming a freelancer,0
"Generate a keyword list for a given topic.
Local Restaurants",0
Explain the basic concepts of economics in less than 100 words.,0
"Given the pieces of code, explain why the function does not work properly.
def calculate_number():
  num1 = 5
  num2 = 10
  answer = num1 + num2
  return answer",1
How can I check if a given string is a palindrome?,1
Explain why the result of 4 / 2 = 2 is accurate.,0
Prove the associative law of addition for real numbers.,1
Provide a list of sites to visit in Barcelona.,0
"Invoke a function to find the average of an array of integers.
[86, 49, 22, 24, 29]",0
Create a list of items for a picnic.,0
Name a few symbols of American independence.,0
Provide a specific application of a deep learning model.,0
"Select the odd one out from the following words: pottery, pastry, jewelry, carpenter.",0
Give the name and a brief description of a type of user interface.,0
Please suggest a film that appeals to teens between the ages of 15 to 18.,0
"Given the input, convert the given text into a coherent paragraph
Environmentally clear, energy efficient",0
Provide an example of a person who is reliable.,1
"Choose one website and write a description of what it does.
https://www.google.com/",1
Find five books related to economics that were published in the last five years.,0
"Is the sentence a valid mathematical expression?
A + B < C",1
Name three techniques of data cleaning.,1
Name a major software innovation from the past decade,1
"Given a fact about a selected topic, provide a relevant example.
Factions in society can lead to civil unrest.",1
Generate 3-5 questions to use in a survey related to the impacts of technology,0
"Rewrite the following text using 150 words.
Technology is transforming our lives. It is enabling us to access information, connect with people around the world, and create new opportunities for leisure and entertainment.",1
"Analyze the results of the following test scores.
90, 86, 75, 63",1
"Which two goods are complements
iPhone and AirPods",1
"Summarize the movie ""Jaws"" in 100 words.",0
"Preface the given statement with appropriate context, so it can fit into an article.
We had a positive outcome for the research project.",0
Write a few lines about a tropical beach.,1
Find the 3rd derivative of the function y=x^5.,0
Provide three tips to improve communication skills,1
"Read through a given article and summarise its main points.
https://news.stanford.edu/2021/06/07/stanford-unveils-bold-experimental-solution-to-food-insecurity/",0
Create an example of a get-well-soon card.,0
Generate new ideas for a blog post about environmental protection.,1
"Suggest three ways people can save energy in their homes.
No input",1
Describe two advantages that application-level middleware can provide.,1
Come up with an example of a parabola whose axis of symmetry is the line x = 4,0
"Summarize the main points of the article ""How COVID-19 is reshaping the global economy""",0
Give me one example of an invasive species,1
"Explain what the phrase ""the moving finger writes, and having writ,"" means in the context of the poem ""The Rubaiyat of Omar Khayyam"".",1
"Develop a paragraph using the words ""breeze,"" ""warmth,"" and ""sunshine"".",0
Describe a blockchain in layman's terms.,0
"Provide an example of a situation in which the following phrase might be used: ""It's too little, too late.""",1
Describe two possible long-term effects of climate change.,1
Compose a concise explanation about why someone should use GPT models in their research project.,1
Create an analogy to describe the history of the US Constitution and the US Supreme Court.,1
Give an example of a recent natural disaster.,0
"Create a punchy social media post about the given news
The news is about the launch of a new product",0
Give an example of a technology that uses probabilistic thinking.,1
We are looking to diversify our product line by offering a new type of product. Generate potential ideas.,0
Describe a peaceful meadow in 50 words.,1
Create a Twitter post about the importance of protecting endangered species.,1
List three important functions of the United Nations.,0
Write three sentences to describe a serene beach,1
"Give two examples of a function that is neither injective, surjective or bijective",0
Name two ways to protect your computer from being hacked.,1
How did the abacus calculate numbers?,1
Write a paragraph that outlines the differences between playing team sports and individual sports.,1
"In two sentences, describe a hypothetical situation in which the given item is used
Laser",1
How many possible arrangements are there for the word “SUPER”?,1
"Draft the introduction of a research paper
Research Topic:
Exploring the effects of technology on the job market",1
Come up with a creative way to reduce food waste.,1
"Determine which type of the given organizations are more profitable, government or private organizations?",1
"Describe the lifestyle of someone who travels frequently
""<noinput>""",1
Name some animals that are endangered.,1
Say something to cheer up a person who is feeling down.,0
"Can you detect any biases in the following article?
In baseball, the pitcher is usually the most dependable player on the team. They can be relied on to make big plays and lead the team to victory.",1
"Given an article, summarize it in 2-3 sentences.
The US economy seems to be improving after the fall due to the pandemic.",0
Summarize the differences between qualitative and quantitative data.,1
Generate a list of three safety tips for kids to follow when walking to school.,1
Provide an example of a use case for Machine Learning,1
"After watching a documentary, what are the implications of the arguments presented in the documentary?",1
Search the web to find a list of the most popular ice cream flavors.,0
Which algorithm is best for predicting stock prices?,1
Generate a list of items a survival pack should include.,0
"We are given some data about a subject. Write a descriptive paragraph about the subject.
Steven Jobs | founder of | Apple",1
Construct a valid third-degree equation,0
What type of cheddar cheese is best for a cheese platter?,1
"Analyze the given verse and explain its significance.
""Be patient and calm—for no one can catch fish in anger.""",1
"Generate a set of 6 thought-provoking questions based on the given topic
The relationship between IQ and success",1
Come up with five questions about Mars,0
List three possible problems that a faulty Internet connection can cause.,1
Identify a potential area for improvement for your favorite website.,1
Describe a type of bacteria found in the environment.,1
Tell me an example of something that would cause a financial crisis.,1
Summarise the tips for successful online dating.,0
"Based on the given data, forecast possible future market trends.
The current trend in the market is that asset prices are increasing.",1
Provide three tips for reducing anxiety.,0
Describe the process of photosynthesis in 100 words or less.,0
"Generate an example of how the given technology is being used in the industry.
AI in healthcare",1
"Add 3 interesting facts about Colombia.
<No input>",0
Describe what is a storage array.,0
Explain the effects of global warming in three sentences.,1
Generate an example of a traditional Japanese dance.,0
Create a list of five objects that you would take with you to explore a new planet,0
"Create a 3-sentence story with the topic ""the lost key"".",0
Summarize the key steps to problem solving.,0
"Reshape the following passage to make it more interesting
Lucy went to the movies with her friends. She liked the movie.",1
Summarize the debate about global warming.,1
How many beats are in a pick-up?,1
Generate a list of activities to do with a 3-year-old,0
Provide two examples for a metaphor,0
"Given a description of the scientific method, summarize the steps in five sentences or fewer.",0
Generate a couple of sentences describing an office complex.,1
Identify the biggest challenge in using AI for medical diagnosis.,1
"Generate a list of wildlife found in the given region
The Amazon Rainforest",0
"Given a list of characteristics, classify an animal as a wild animal or a domesticated animal.
Characteristics: Nocturnal, Nocturnal, Nocturnal, Mixed Diet",1
Think of an activity that parents can do with their children,1
Explain why it is important for a person to have good motor control and coordination.,0
"List three defining characteristics of the given item.
Hawks",0
Create an algorithm for finding prime numbers between 1 and 100,1
"Summarize the article about the American healthcare system.
https://www.brookings.edu/blog/up-front/2020/09/11/americas-health-care-cost-crisis-and-covid-19/",1
Write a few sentences about the common mistakes made when editing text.,1
Write a list of actionable items that a sales team can use to increase their sales.,1
Create a Twitter post about the upcoming US presidential elections.,0
Describe a situation where using a mobile device is inappropriate.,0
"Create a sentence that elegantly describes the given painting.
[https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/The_Annunciation_Rubens.jpg/1200px-The_Annunciation_Rubens.jpg]",0
Explain why people need sleep.,1
"Generate a metric to assess the success of a task.
Transitioning to the cloud.",0
Compute the value of 7/8 + (1/4 x 9),1
Provide an example of a post to a classified website.,1
